num,name
"UN-38640","II"
"99-30000","D"
"99-30001","D"
"UN-39497","FF"
"UN-39684","ZZ"
"UN-39748","YY1"
"UN-39685","ZZ"
"UN-39849","II"
"52-12345","D"
"UN-33930","FF1"
"52-00003","D"
"99-00202","D"
"UN-39832","II_Concept_Rocket"
"UN-39845","FF1"
"UN-37794","ZZ"
"99-39003","D"
"UN-39095","ZZ"
"UN-39960","FF_HV_AD"
"CA-39930","II"
"UN-39959","DD"
"CA-39833","II"
"US-39979","DD"
"US-39978","DD"
"UN-40047","II"
"99-39004","D"
"UN-39969","DD"
"UN-39994","DD"
"UN-40051","F"
"UN-38578","CustomerLink"
"99-19274","D"
"99-03766","D"
"99-03769","D"
"99-03770","D"
"UN-40122","ZZ"
"UN-40156","DD"
"99-03768","D"
"ME-39102","II"
"UN-39819","ZZ"
"UN-39865","ZZ"
"UN-40233","DD"
"UN-40261","QQ"
"UN-31754","ZZ"
"UN-37725","II"
"UN-40241","FF"
"UN-39101","YY"
"UN-39731","FF"
"UN-39882","D"
"UN-39696","FF"
"UN-39423","II"
"UN-40522","DD"
"UN-40407","ZZ"
"UN-40028","ZZ"
"UN-40546","FF"
"UN-39594","ZZ"
"UN-40246","YY"
"UN-40567","D"
"UN-40613","II"
"UN-40677","D"
"UN-40705","DD"
"CA-40482","II"
"UN-40695","DD"
"UN-40696","DD"
"UN-40697","DD"
"UN-39840","ZZ2"
"UN-33662","ZZ"
"UN-40742","D"
"UN-40262","DD"
"UN-40771","ZZ"
"UN-40208","FF"
"UN-40857","DD"
"UN-40821","FF"
"UN-40221","FF"
"UN-40755","ZZ"
"UN-40548","FF"
"UN-40471","ZZ"
"UN-40910","ZZ"
"UN-40965","FF"
"UN-39009","QQ"
"UN-41032","II"
"UN-41078","FF_Dun Bradstreet"
"99-11221","F"
"UN-41139","FF"
"UN-40993","ZZ"
"UN-40918","HH"
"UN-41070","C_ICAN"
"UN-40937","ZZ"
"UN-41174","II"
"UN-41205","DD"
"UN-41206","DD"
"UN-41161","ZZ"
"UN-40582","ZZ"
"UN-40746","ZZ"
"UN-41178","QQ"
"UN-40586","FF1"
"UN-40998","FF"
"99-18293","ZZ"
"UN-40809","ZZ"
"UN-41310","C_ICAN"
"UN-41240","ZZ"
"UN-41202","II"
"UK-40519","II"
"UN-40815","ZZ"
"99-19264","ZZ"
"UN-39997","II"
"UN-41371","FF"
"UN-41408","DD"
"UN-41409","DD"
"UN-22637","FF_tod"
"UN-39211","II"
"UN-40999","OO"
"UN-21822","FF"
"UN-41582","DD"
"UN-41585","II"
"UN-40309","LL"
"UN-41260","II"
"UN-39749","ZZ"
"UN-41617","II"
"UN-41692","II"
"UN-41698","ZZ"
"CA-33718","II"
"UN-41222","II"
"UN-40403","C_ICAN"
"UN-40837","II"
"UN-41059","C_Debt Free America"
"UN-41614","DD"
"UN-41813","ZZ"
"UN-40887","ZZ"
"99-19826","ZZ"
"UN-41471","ZZ1"
"UN-41673","LL_OTMX"
"UN-37543","ZZ"
"UN-41639","II"
"UN-41734","II"
"UN-41902","II"
"UN-41575","ZZ"
"UN-40711","ZZ"
"UN-41883","DD"
"UN-41885","DD"
"UN-41886","DD"
"UN-40243","II"
"UN-41904","II"
"UN-41906","II"
"UN-40523","II"
"UN-41270","FF"
"UN-42122","ZZ1"
"US-41573","FF"
"UN-42200","II"
"UN-42468","FF"
"UN-42047","FF_Education Dynamics"
"CA-41010","II"
"UN-41856","FF"
"US-42550","DD"
"UN-42551","DD"
"UN-42182","II"
"UN-42618","ZZ"
"UN-42620","DD"
"PA-42475","II"
"UN-41368","II"
"UN-A9256","ZZ"
"UN-42561","FF"
"UN-42732","DD"
"UN-41896","II"
"US-42729","FF"
"UN-42841","DD"
"UN-42161","II"
"UN-42581","ZZ"
"UN-42166","II"
"UN-42170","II"
"UN-42862","ZZ"
"99-A9063","T"
"CA-34889","FF1"
"UN-42761","II"
"UN-42614","ZZ"
"ME-42171","II"
"UN-41763","ZZ"
"US-42432","FF1"
"ME-42167","II"
"UN-41066","II"
"UN-34803","ZZ1"
"99-A9039","ZZ"
"UN-43187","DD"
"UN-40754","ZZ"
"UN-42169","II"
"UN-42164","II"
"UN-43218","II"
"UN-43227","ZZ"
"UN-39338","ZZ1_Overage $0.0125"
"UN-42168","II"
"US-42836","C_ICAN"
"UN-42630","ZZ"
"UN-43346","FF1"
"UN-42317","ZZ"
"UN-43251","FF"
"UN-42480","ZZ"
"US-43422","D"
"UN-43405","DD"
